anon_id,final_model_new,survey_completion_morning,survey_completion_evening,survey_completion_morning_cr2,survey_completion_evening_cr2,survey_evening_fam,survey_morning_fam,cg1_sex,cg1_gender,cg2_sex,cg2_gender,partnered,hh_income_cat,n_children_home,edu_cg1,employed_cg1,employed_cg2,child_eth,child_race,edu_cg2,age_months,tottag_accept1_cg1,tottag_accept3_cg1,tottag_accept4_cg1,tottag_accept5_cg1,tottag_accept6_cg1,tottag_accept7_cg1,tottag_accept8_cg1,tottag_accept9_cg1,tottag_accept10_cg1,tottag_accept11_cg1,tottag_accept12_cg1,tottag_accept14_cg1,tottag_accept1_cg2,tottag_accept3_cg2,tottag_accept4_cg2,tottag_accept5_cg2,tottag_accept6_cg2,tottag_accept7_cg2,tottag_accept8_cg2,tottag_accept9_cg2,tottag_accept10_cg2,tottag_accept11_cg2,tottag_accept12_cg2,tottag_accept14_cg2,acc12_remap_cg1,acc12_remap_cg2,acc5_remap_cg1,acc5_remap_cg2,acc9_rescaled_cg1,acc9_rescaled_cg2,acc10_rescaled_cg1,acc10_rescaled_cg2,acc14_clean_cg1,acc14_clean_cg2,acc6_rev_cg1,acc6_rev_cg2,dom_ease_cg1,dom_comfort_cg1,dom_burden_cg1,dom_privacy_cg1,dom_benefit_cg1,dom_sat_cg1,dom_ease_cg2,dom_comfort_cg2,dom_burden_cg2,dom_privacy_cg2,dom_benefit_cg2,dom_sat_cg2,dom_procfeas_cg1,dom_procfeas_cg2,dom_ease_family,dom_comfort_family,dom_burden_family,dom_privacy_family,dom_benefit_family,dom_sat_family,dom_procfeas_family,acc10_rescaled_family,acc14_clean_family,dom_acceptability_family,survey_total_fam,dom_acceptability_cg1,dom_acceptability_cg2,deploy_tertile,age_months_rcv,age_diff,age_months_ttstart,cg1_any,cg2_any
1,1,6,7,6,7,6,7,Female,Woman,Male,Man,Partnered,"> $150,000",1,Some college/AA,1,1,Not Hispanic/Latinx,White,BA,12.320329,,,,,,,,,,,,,4,3,5,1,2,5,4,3,1,4,0,5,,5,,5,,5,,1,,5,,4,,,,,,,4,3,4,5,5,4,,5,4,3,4,5,5,4,5,1,5,4.1666665,13,,4.166666666666667,,12.32032854209446,1.70368922525e-07,,0,1
2,1,5,2,7,7,7,7,Female,Woman,Male,Man,Partnered,"$90,001–150,000",2,Graduate degree,0,1,Hispanic/Latinx,White,Graduate degree,13.075975,3,4,4,2,3,3,3,3,3,4,0,6,3,4,4,1,2,4,4,2,3,4,0,5,5,5,3,5,5,3,5,5,,5,3,4,3,4,3,3,5,4,3,4,4,4,3,4,4,4.666666666666667,3,4,3.5,3.5,4,4,4.3333335,5,5,3.6666667,14,3.666666666666667,3.666666666666667,Early third,13.07597535934292,5.87479043190e-08,13.1088295687885,1,1
3,1,7,7,6,7,7,7,Female,Woman,Male,Man,Partnered,"$90,001–150,000",2,Some college/AA,1,1,Not Hispanic/Latinx,White,Some college/AA,12.123203,4,4,4,1,1,4,4,3,3,4,0,4,3,4,4,2,2,4,4,3,3,4,0,5,5,5,5,3,5,5,5,5,4,5,5,4,4,4,5,4,5,4,3,4,4,4,5,4,4.666666666666667,4,3.5,4,4.5,4,5,4,4.3333335,5,4.5,4.1666665,14,4.333333333333333,4,Early third,12.12320328542094,-7.83305331709e-09,12.15605749486653,1,1
4,1,0,0,0,0,0,0,Female,Woman,Male,Man,Single,"$60,001–90,000",2,Graduate degree,1,,,Multiracial,,11.926078,5,4,5,2,2,3,3,3,3,4,0,5,,,,,,,,,,,,,5,,3,,5,,5,,5,,4,,5,4,4,3,5,4,,,,,,,4.333333333333333,,5,4,4,3,5,4,4.3333335,5,5,4.1666665,0,4.166666666666667,,Early third,11.92607802874743,-1.86035030936e-07,12.02464065708419,1,0
5,1,5,6,6,7,7,6,Female,Woman,Male,Man,Partnered,"$90,001–150,000",5,Some college/AA,1,0,Not Hispanic/Latinx,White,HS or less,12.057495,3,4,5,2,2,4,3,3,3,4,0,4,4,4,4,1,1,3,3,3,3,4,0,5,5,5,3,5,5,5,5,5,4,5,4,5,3,4,4,4,5,4,4,4,5,3,5,4,4.333333333333333,4.666666666666667,3.5,4,4.5,3.5,5,4,4.5,5,4.5,4.0833335,13,4,4.166666666666667,Early third,12.05749486652977,2.50657725687e-07,24.37782340862423,1,1
6,1,1,1,7,6,6,7,Female,Woman,Male,Man,Partnered,"> $150,000",2,Graduate degree,1,1,Not Hispanic/Latinx,White,Graduate degree,11.86037,4,4,5,1,1,5,5,2,3,,0,5,5,5,5,1,1,3,3,3,3,5,0,3,5,5,5,5,3,5,5,5,5,3,5,5,4,4,5,5,3,,5,5,5,3,5,5,5,5,4.5,4.5,5,4,4,5,5,5,4,4.5,13,4.2,4.666666666666667,Early third,11.86036960985626,7.24557480680e-08,23.88501026694045,1,1
7,1,6,7,6,7,7,6,Female,Woman,Male,Man,Partnered,"$60,001–90,000",3,Graduate degree,1,1,Not Hispanic/Latinx,White,HS or less,12.681725,3,1,4,1,3,4,4,2,2,3,1,3,5,4,5,2,3,4,4,2,2,4,0,4,1,5,5,3,3,3,3,3,3,4,3,3,3,1,3,4,3,3,5,4,3,4,3,4,3.333333333333333,4.333333333333333,4,2.5,3,4,3,3.5,3.8333333,3,3.5,3.3333333,13,2.833333333333333,3.833333333333333,Late third,12.68172484599589,-2.97656049142e-07,12.71457905544148,1,1
8,1,6,7,6,5,7,6,Female,Woman,Male,Man,Partnered,"$30,001–60,000",3,Some college/AA,0,1,Hispanic/Latinx,Multiracial,HS or less,12.320329,5,5,5,1,1,5,5,3,3,5,0,5,3,2,4,1,2,4,4,2,2,3,0,5,5,5,5,5,5,3,5,3,5,5,5,4,5,5,5,5,5,5,3,2,4,4,3,3,5,4.666666666666667,4,3.5,4.5,4.5,4,4,4.8333335,4,5,4.0833335,13,5,3.166666666666667,Early third,12.32032854209446,1.70368922525e-07,12.78028747433265,1,1
9,1,7,7,7,7,7,7,Female,Woman,Male,Man,Partnered,"> $150,000",3,Graduate degree,1,1,Not Hispanic/Latinx,White,Graduate degree,12.386037,5,4,5,2,1,5,5,3,3,5,0,6,4,4,5,2,2,3,3,2,3,4,1,3,5,1,3,3,5,3,5,5,,3,5,4,5,4,5,5,5,5,4,4,4,3,3,4,4.333333333333333,3,4.5,4,4.5,4,4,4.5,3.6666667,5,3,4.25,14,4.833333333333333,3.666666666666667,Early third,12.38603696098563,-8.81218564786e-08,12.61601642710472,1,1
10,1,7,7,7,7,7,7,Female,Woman,Male,Man,Partnered,"$60,001–90,000",2,Some college/AA,1,1,Not Hispanic/Latinx,White,Some college/AA,12.188911,3,3,5,1,2,3,3,3,3,5,0,5,5,3,5,1,1,5,5,3,3,5,0,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,4,3,5,5,5,3,5,5,5,5,5,5,4,3,4.5,4,5,5,5,5,5,4.25,14,3.833333333333333,4.666666666666667,Late third,12.18891170431212,-2.66323834097e-07,24.18069815195072,1,1
